rocchio feedback relevance explicit
query_id	doc_id		doc_score_
1		879		1.3771578400314592
1		51		1.339116343048095
1		12		1.0214405934969706
1		860		0.9862908602056816
1		1170		0.9477080817921615
1		878		0.939707908431407
1		75		0.8834277189416105
1		884		0.8575639118034142
1		102		0.8501826651726182
1		486		0.8340123582052203
1		724		0.8185697722084506
1		184		0.8006899494830177
1		876		0.7939228026682954
1		726		0.7847397799843948
1		883		0.7624496104158777
1		795		0.7483237754084504
1		526		0.7337769294248172
1		874		0.7039461848199958
1		1012		0.7008041404868625
1		1305		0.6809959706290516
1		13		0.6722094697855489
1		836		0.6610968097465473
1		875		0.6595170800311645
1		729		0.6536205504270993
1		78		0.6414414864695176
1		747		0.6345915984763008
1		1361		0.6311127600464659
1		214		0.6184328817207614
1		252		0.6155681324885995
1		215		0.6107202952913983
1		141		0.608811141435743
1		1015		0.6053767850274727
1		925		0.604528598839523
1		635		0.5945827582297991
1		1130		0.5855281605706657
1		92		0.5749241946807633
1		739		0.56668094136788
1		195		0.5582097668820976
1		880		0.5548105001462287
1		840		0.5529621577175545
1		896		0.5529023490365044
1		197		0.5500665963895807
1		722		0.5487468672132234
1		311		0.5443399660712727
1		762		0.5439466103088006
1		796		0.5405268624352464
1		516		0.5320421542644809
1		685		0.531730299624372
1		951		0.5287695705150577
1		835		0.5283524498505403
1		800		0.5269933981986803
1		1091		0.5259837009952013
1		911		0.5249264035376142
1		801		0.524723980080759
1		47		0.524468249594054
1		862		0.523034828310713
1		719		0.5175980093626553
1		755		0.5141072899467576
1		1290		0.5115540672562223
1		640		0.5072868979191107
1		909		0.4984565887334285
1		1263		0.49542841164232165
1		811		0.4938825452305301
1		834		0.49233047159419985
1		721		0.49096308970594654
1		991		0.4893544556234213
1		315		0.4855707983009575
1		837		0.4826945214547479
1		1331		0.48052643694953123
1		709		0.479251115163905
1		1101		0.4771046966291187
1		742		0.4720194387861078
1		799		0.47023129147655746
1		1176		0.46822818747160544
1		1144		0.4654522172678601
1		280		0.46541945084025393
1		354		0.4643658254151065
1		95		0.4643016060059209
1		1163		0.46423495759188993
1		502		0.46419355898723214
1		1341		0.4618721109441811
1		29		0.460976494991246
1		497		0.45274083125371034
1		686		0.44627254224692237
1		781		0.44620269914845734
1		886		0.4454813007975176
1		1217		0.43241940503695075
1		711		0.42766378615268863
1		1020		0.4258429269815377
1		815		0.4234966690828659
1		216		0.42301994341008897
1		1164		0.42036216166479456
1		859		0.4196516145504955
1		1153		0.41899001901871863
1		1069		0.41887578480407284
1		513		0.4173425975777146
1		1154		0.41437582766156533
1		419		0.41415930727524886
1		1346		0.4113465115330445
1		602		0.41129245375416956
1		84		0.4081089587284189
1		312		0.4065970240002392
1		1098		0.4056231748601529
1		908		0.4010739156856008
1		792		0.4010447482678856
1		592		0.40092150938501253
1		329		0.3976444678314731
1		743		0.3974340700914464
1		431		0.39707127901919176
1		725		0.3958540616174765
1		643		0.39535326008547145
1		1320		0.39393730075577044
1		466		0.392696503256674
1		415		0.3910114739846804
1		202		0.3906331721781353
1		1338		0.38755844916028603
1		14		0.38736275360987416
1		838		0.38706479786388404
